"","YM","CATEGORY","ITEM_CNT","QTY","PRICE","MAXTEMP","SALEDAY","RAIN_DAY","HOLIDAY"
"76",201004,"과즙음료",57,1750,2768,15,130412,5973,8
"77",201005,"과즙음료",57,2204,2768,23,143681,8656,12
"78",201006,"과즙음료",63,2366,2637,28,145035,6325,8
"79",201007,"과즙음료",63,2681,2637,29,148561,14930,9
"80",201008,"과즙음료",62,2321,2660,31,153056,30531,9
"81",201009,"과즙음료",64,1963,2786,27,147804,23150,11
"82",201010,"과즙음료",63,2321,2811,20,155952,1337,10
"83",201011,"과즙음료",65,1548,2932,13,154482,0,8
"84",201012,"과즙음료",66,1306,2958,5,161292,886,8
"85",201101,"과즙음료",68,1268,2960,-1,163610,82,10
"86",201102,"과즙음료",65,1528,3042,7,149737,5587,11
"87",201103,"과즙음료",63,1874,3112,10,169838,919,9
"88",201104,"과즙음료",74,2200,2984,17,167577,8244,9
"89",201105,"과즙음료",72,3247,2937,23,176452,7345,10
"90",201106,"과즙음료",73,2783,2913,27,173664,25001,9
"91",201107,"과즙음료",74,2593,3039,29,182676,43058,10
"92",201108,"과즙음료",79,2765,2792,29,186850,20554,9
"93",201109,"과즙음료",77,2971,2817,26,184270,5373,10
"94",201110,"과즙음료",76,2459,2838,20,194286,4146,11
"95",201111,"과즙음료",75,2299,2876,16,191703,10027,8
"96",201112,"과즙음료",75,1823,2876,5,201541,489,9
"97",201201,"과즙음료",71,1402,2942,3,203133,362,11
"98",201202,"과즙음료",72,1859,2907,5,186880,377,8
"99",201203,"과즙음료",70,2566,2941,11,212945,6556,10
"100",201204,"과즙음료",77,2475,2818,18,209151,17042,9
"101",201205,"과즙음료",80,3653,3146,24,215673,2095,10
"102",201206,"과즙음료",83,3474,3251,28,215525,8865,10
"103",201207,"과즙음료",76,2568,2205,29,203590,25076,9
"104",201208,"과즙음료",73,2854,2218,30,228142,32385,9
"105",201209,"과즙음료",69,2744,2269,25,223581,23569,10
"106",201210,"과즙음료",71,2369,2246,21,233331,11111,10
"107",201211,"과즙음료",67,1833,2299,11,229144,4805,8
"108",201212,"과즙음료",64,1621,2158,2,239129,3706,11
"109",201301,"과즙음료",63,1627,2184,2,240416,2528,9
"110",201302,"과즙음료",65,1624,2337,5,217015,6667,9
"111",201303,"과즙음료",63,2103,2376,12,243648,4364,11
"112",201304,"과즙음료",60,2117,2445,15,237340,6727,8
"113",201305,"과즙음료",62,2606,2419,23,245068,17217,10
"114",201306,"과즙음료",56,2621,1962,28,236180,7360,11
"115",201307,"과즙음료",59,2336,1936,29,241687,41344,8
"116",201308,"과즙음료",61,2755,1957,31,240142,22284,10
"117",201309,"과즙음료",59,2992,1928,26,231662,13699,12
"118",201310,"과즙음료",64,2563,1898,21,239981,3011,10
"119",201311,"과즙음료",68,1878,1923,12,232854,2944,9
"120",201312,"과즙음료",65,1770,1939,5,240458,202,10
